"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","platform_code"
000008600223,"","Vejen St.",,"55.475939000000","9.136183000000",0,,0,""
000008600220,"","Gørding St.",,"55.469698000000","8.800725000000",0,,0,""
000008600221,"","Holsted St.",,"55.484926000000","8.914455000000",0,,0,""
000008602623,"","Nakskov St.",,"54.833249000000","11.138193000000",0,,0,""
000461011500,"","Bauhaus / Risingsvej (Odense Kommune)",,"55.405839000000","10.424139000000",0,,0,""
000461101500,"","Anne Maries Alle (Odense Kommune)",,"55.369936000000","10.360298000000",0,,0,""
000461001500,"","Gammelsø (Odense Kommune)",,"55.411123000000","10.368300000000",0,,0,""
000008600559,"","Hjallese St.",,"55.358234000000","10.392378000000",0,,0,""
000008600555,"","Svendborg Vest St.",,"55.055707000000","10.581866000000",0,,0,""
000008600551,"","Svendborg St.",,"55.059305000000","10.611789000000",0,,0,""
000008604119,"","Ålbæk St.",,"57.592626000000","10.408348000000",0,,0,""
000008604117,"","Strandby St.",,"57.489878000000","10.490410000000",0,,0,""
000008604115,"","Skagen St.",,"57.723911000000","10.592087000000",0,,0,""
000008604113,"","Rimmen St.",,"57.505024000000","10.444978000000",0,,0,""
000008604111,"","Napstjert St.",,"57.554894000000","10.408312000000",0,,0,""
000008604818,"","Nejrup St.",,"56.565634000000","8.188112000000",0,,0,""
000008604819,"","Ramme St.",,"56.489103000000","8.210323000000",0,,0,""
000008604817,"","Lemvig St.",,"56.547040000000","8.299616000000",0,,0,""
000008604814,"","Armose St.",,"56.529451000000","8.265735000000",0,,0,""
000008604815,"","Klinkby St.",,"56.564969000000","8.220460000000",0,,0,""
000008604813,"","Harboøre St.",,"56.621175000000","8.179831000000",0,,0,""
000008604811,"","Fåre St.",,"56.454020000000","8.261658000000",0,,0,""
000008600097,"","Tinglev St.",,"54.936323000000","9.257875000000",0,,0,""
000008600015,"","Brønderslev St.",,"57.269680000000","9.943196000000",0,,0,""
000008600094,"","Rødekro St.",,"55.069202000000","9.333457000000",0,,0,""
000008600013,"","Vrå St.",,"57.354579000000","9.942663000000",0,,0,""
000008600091,"","Vojens St.",,"55.248236000000","9.305570000000",0,,0,""
000008600708,"","Ballerup St.",,"55.729871000000","12.358344000000",0,,0,""
000008600709,"","Måløv St.",,"55.747485000000","12.318319000000",0,,0,""
000008600706,"","Herlev St.",,"55.718919000000","12.443674000000",0,,0,""
000008600707,"","Skovlunde St.",,"55.722763000000","12.403533000000",0,,0,""
000008600704,"","Islev St.",,"55.699529000000","12.469383000000",0,,0,""
000008600705,"","Husum St.",,"55.709409000000","12.464033000000",0,,0,""
000008600702,"","Peter Bangs Vej St.",,"55.678590000000","12.503443000000",0,,0,""
000008600703,"","Vanløse St.",,"55.687355000000","12.490603000000",0,,0,""
000008600781,"","Kildebakke St.",,"55.744614000000","12.508535000000",0,,0,""
000008600701,"","Langgade St.",,"55.667050000000","12.504224000000",0,,0,""
000008600780,"","Dyssegård St.",,"55.732629000000","12.535743000000",0,,0,""
000008604739,"","Vrøgum St.",,"55.653856000000","8.292125000000",0,,0,""
000008604735,"","Varde Vest St.",,"55.624401000000","8.476521000000",0,,0,""
000461000600,"","Valkendrupsgyden (Odense Kommune)",,"55.436843000000","10.314215000000",0,,0,""
000008600278,"","Kibæk St.",,"56.032512000000","8.851947000000",0,,0,""
000008600279,"","Troldhede St.",,"55.990872000000","8.745072000000",0,,0,""
000008600274,"","Hammerum St.",,"56.131706000000","9.062907000000",0,,0,""
000008600275,"","Herning St.",,"56.133328000000","8.977861000000",0,,0,""
000008600273,"","Ikast St.",,"56.144806000000","9.154343000000",0,,0,""
000008600270,"","Engesvang St.",,"56.167907000000","9.351321000000",0,,0,""
000008600271,"","Bording St.",,"56.146880000000","9.278219000000",0,,0,""
000008600636,"","Sorgenfri St.",,"55.781255000000","12.483542000000",0,,0,""
000008600634,"","Dybbølsbro St.",,"55.664828000000","12.559511000000",0,,0,""
000461102500,"","Rousehøjvej (Odense Kommune)",,"55.337539000000","10.310941000000",0,,0,""
000008600907,"","Varpelev St.",,"55.352412000000","12.279958000000",0,,0,""
000008601617,"","Højstrup St.",,"56.047198000000","12.594089000000",0,,0,""
000008600904,"","Himlingøje St.",,"55.372343000000","12.215788000000",0,,0,""
000008601615,"","Horneby Sand St.",,"56.089915000000","12.435153000000",0,,0,""
000008600902,"","Vallø St.",,"55.400318000000","12.191961000000",0,,0,""
000008600903,"","Grubberholm St.",,"55.379951000000","12.202036000000",0,,0,""
