service_id,date,exception_type
1002H3_20241209_20241229_Ti,20241224,2
1002H3_20241209_20241229_Ke,20241225,2
1002H3_20241209_20241229_Pe,20241213,2
1002H3_20241209_20241229_Pe,20241227,2
1002H3_20241230_20250203_Ma,20241230,2
1002H3_20241230_20250203_To,20250102,2
1002H3_20241230_20250203_Pe,20250103,2
1002H3_20241230_20250203_Ma,20250106,2
1002H3_20241230_20250203_Su,20250106,1
1002H3_20241230_20250203_Ti,20241231,2
1002H3_20241230_20250203_Ke,20250101,2
1002H4_20241209_20241229_To,20241226,2
1002H4_20241209_20241229_Ti,20241224,2
1002H4_20241209_20241229_Ke,20241225,2
1002H4_20241209_20241229_Pe,20241213,2
1002H4_20241209_20241229_Pe,20241227,2
1002H4_20241209_20241229_Su,20241226,1
1002H4_20241230_20250203_Ma,20241230,2
1002H4_20241230_20250203_To,20250102,2
1002H4_20241230_20250203_Pe,20250103,2
1002H4_20241230_20250203_Ma,20250106,2
1002H4_20241230_20250203_Su,20250106,1
1002H4_20241230_20250203_Ti,20241231,2
1002H4_20241230_20250203_Ke,20250101,2
1002H6_20241209_20241229_Ti,20241224,2
1002H6_20241209_20241229_Ke,20241225,2
1002H6_20241209_20241229_To,20241226,2
1002H6_20241209_20241229_Pe,20241213,2
1002H6_20241209_20241229_Pe,20241227,2
1002H6_20241230_20250203_Ma,20241230,2
1002H6_20241230_20250203_To,20250102,2
1002H6_20241230_20250203_Pe,20250103,2
1002H6_20241230_20250203_Ma,20250106,2
1002H6_20241230_20250203_Su,20250106,1
1002H6_20241230_20250203_Ti,20241231,2
1002H6_20241230_20250203_Ke,20250101,2
1003_20241209_20241229_To,20241226,2
1003_20241209_20241229_Ti,20241224,2
1003_20241209_20241229_Ke,20241225,2
1003_20241209_20241229_Pe,20241213,2
1003_20241209_20241229_Pe,20241227,2
1003_20241209_20241229_Su,20241226,1
1003_20241230_20250203_Ma,20241230,2
1003_20241230_20250203_To,20250102,2
1003_20241230_20250203_Pe,20250103,2
1003_20241230_20250203_Ma,20250106,2
1003_20241230_20250203_Su,20250106,1
1003_20241230_20250203_Ti,20241231,2
1003_20241230_20250203_Ke,20250101,2
1003 3_20241209_20241229_To,20241226,2
1003 3_20241209_20241229_Ti,20241224,2
1003 3_20241209_20241229_Ke,20241225,2
1003 3_20241209_20241229_Pe,20241213,2
1003 3_20241209_20241229_Pe,20241227,2
1003 3_20241230_20250203_Ma,20241230,2
1003 3_20241230_20250203_To,20250102,2
1003 3_20241230_20250203_Pe,20250103,2
1003 3_20241230_20250203_Ma,20250106,2
1003 3_20241230_20250203_Su,20250106,1
1003 3_20241230_20250203_Ti,20241231,2
1003 3_20241230_20250203_Ke,20250101,2
1003 4_20241209_20241229_To,20241226,2
1003 4_20241209_20241229_Ti,20241224,2
1003 4_20241209_20241229_Ke,20241225,2
1003 4_20241209_20241229_Pe,20241213,2
1003 4_20241209_20241229_Pe,20241227,2
1003 4_20241209_20241229_Su,20241226,1
1003 4_20241230_20250203_Ma,20241230,2
1003 4_20241230_20250203_To,20250102,2
1003 4_20241230_20250203_Pe,20250103,2
1003 4_20241230_20250203_Ma,20250106,2
1003 4_20241230_20250203_Su,20250106,1
1003 4_20241230_20250203_Ti,20241231,2
1003 4_20241230_20250203_Ke,20250101,2
1003 6_20241209_20241229_To,20241226,2
1003 6_20241209_20241229_Ti,20241224,2
1003 6_20241209_20241229_Ke,20241225,2
1003 6_20241209_20241229_Pe,20241213,2
1003 6_20241209_20241229_Pe,20241227,2
1003 6_20241209_20241229_Su,20241226,1
1003 6_20241230_20250203_Ma,20241230,2
1003 6_20241230_20250203_To,20250102,2
1003 6_20241230_20250203_Pe,20250103,2
1003 6_20241230_20250203_Ma,20250106,2
1003 6_20241230_20250203_Su,20250106,1
1003 6_20241230_20250203_Ti,20241231,2
1003 6_20241230_20250203_Ke,20250101,2
1003H3_20241230_20250203_Su,20250106,1
1003H4_20241209_20241229_To,20241226,2
1003H4_20241209_20241229_Ti,20241224,2
1003H4_20241209_20241229_Ke,20241225,2
1003H4_20241209_20241229_Pe,20241213,2
1003H4_20241209_20241229_Pe,20241227,2
1003H4_20241209_20241229_Su,20241226,1
1003H4_20241230_20250203_Ma,20241230,2
1003H4_20241230_20250203_To,20250102,2
1003H4_20241230_20250203_Pe,20250103,2
1003H4_20241230_20250203_Ma,20250106,2
1003H4_20241230_20250203_Su,20250106,1
1003H4_20241230_20250203_Ti,20241231,2
1003H4_20241230_20250203_Ke,20250101,2
1003H6_20241209_20241229_To,20241226,2
1003H6_20241209_20241229_Pe,20241227,2
1003H6_20241209_20241229_Ti,20241224,2
1003H6_20241209_20241229_Ke,20241225,2
1003H6_20241209_20241229_Pe,20241213,2
1003H6_20241209_20241229_Su,20241226,1
1003H6_20241230_20250203_Ma,20241230,2
1003H6_20241230_20250203_Ti,20241231,2
1003H6_20241230_20250203_Ke,20250101,2
1003H6_20241230_20250203_To,20250102,2
1003H6_20241230_20250203_Pe,20250103,2
1003H6_20241230_20250203_Ma,20250106,2
1003H7_20241209_20241229_To,20241226,2
1003H7_20241209_20241229_Ti,20241224,2
1003H7_20241209_20241229_Ke,20241225,2
1003H7_20241209_20241229_Pe,20241213,2
1003H7_20241209_20241229_Pe,20241227,2
1003H7_20241209_20241229_Su,20241226,1
1003H7_20241230_20250203_Ma,20241230,2
1003H7_20241230_20250203_To,20250102,2
1003H7_20241230_20250203_Pe,20250103,2
1003H7_20241230_20250203_Ma,20250106,2
1003H7_20241230_20250203_Su,20250106,1
1003H7_20241230_20250203_Ti,20241231,2
1003H7_20241230_20250203_Ke,20250101,2
1003N_20241209_20241229_To,20241226,2
1003N_20241209_20241229_Ti,20241224,2
1003N_20241209_20241229_Ke,20241225,2
1003N_20241209_20241229_Pe,20241213,2
1003N_20241209_20241229_Pe,20241227,2
1003N_20241209_20241229_Su,20241226,1
1003N_20241230_20250203_Ma,20241230,2
1003N_20241230_20250203_To,20250102,2
1003N_20241230_20250203_Pe,20250103,2
1003N_20241230_20250203_Ma,20250106,2
1003N_20241230_20250203_Su,20250106,1
1003N_20241230_20250203_Ti,20241231,2
1003N_20241230_20250203_Ke,20250101,2
1004_20241209_20241226_To,20241226,2
1004_20241209_20241226_Ti,20241224,2
1004_20241209_20241226_Ke,20241225,2
1004_20241209_20241226_Pe,20241213,2
1004_20241209_20241226_Su,20241226,1
1004_20241227_20241229_Pe,20241227,2
1004_20241230_20250203_Ma,20241230,2
1004_20241230_20250203_To,20250102,2
1004_20241230_20250203_Pe,20250103,2
1004_20241230_20250203_Ma,20250106,2
1004_20241230_20250203_Su,20250106,1
1004_20241230_20250203_Ti,20241231,2
1004_20241230_20250203_Ke,20250101,2
1004 3_20241209_20241229_Ke,20241225,2
1004 3_20241209_20241229_To,20241226,2
1004 3_20241209_20241229_Ti,20241224,2
1004 3_20241209_20241229_Pe,20241213,2
1004 3_20241209_20241229_Pe,20241227,2
1004 3_20241209_20241229_Su,20241226,1
1004 3_20241230_20250203_Ma,20241230,2
1004 3_20241230_20250203_To,20250102,2
1004 3_20241230_20250203_Pe,20250103,2
1004 3_20241230_20250203_Ma,20250106,2
1004 3_20241230_20250203_Su,20250106,1
1004 3_20241230_20250203_Ti,20241231,2
1004 3_20241230_20250203_Ke,20250101,2
1004 4_20241209_20241229_To,20241226,2
1004 4_20241209_20241229_Ti,20241224,2
1004 4_20241209_20241229_Ke,20241225,2
1004 4_20241209_20241229_Pe,20241213,2
1004 4_20241209_20241229_Pe,20241227,2
1004 4_20241209_20241229_Su,20241226,1
1004 4_20241230_20250203_Ma,20241230,2
